Achada;"achada"
Achadinha;"achadinha"
Algarvia;"algarvia"
Lomba da Fazenda;"lomba da fazenda"
Nordeste;"nordeste"
Salga;"salga"
Santana;"santana"
Santo António de Nordestinho;"santo_antonio_de_nordestinho"
São Pedro de Nordestinho;"sao_pedro_de_nordestinho"
